Policy,Prompt
Transaction Approval by Amount,"I have attached a transaction log and our Transaction Approval Policy. Please identify every transaction that was 'Approved' but actually should have been 'Declined' according to the rule: 'Auto-decline above $5,000 unless use_chip = Chip Transaction.' Provide a list of these 'False Approvals' including the Transaction ID and the actual dollar amount we over-authorized in this format \boxed{(transaction ID, dollar amount),}"
Credit Limit Tiers by Income,"I have provided a dataset of customer income profiles. Please identify any accounts where the assigned credit limit exceeds the allowed threshold based on the rule: 'Assign $5,000 limit for yearly_income under $40,000; $15,000 limit between $40,000–$100,000; $50,000 limit above $100,000 unless credit_score is below 600.' Provide a list of these over-extended accounts including the Customer ID and the current limit in the following format: \boxed{(Customer ID, Current Limit),}"
Card Reissue Triggers,"Analyze the attached security audit and identify all customers who require a 'Mandatory' or 'Expedited' reissue based on these triggers: 'No reissue if card_on_dark_web = No; mandatory reissue if card_on_dark_web = Yes; expedited reissue if card_on_dark_web = Yes AND year_pin_last_changed is more than 5 years ago.' Generate a list of these customers, clearly marking which are 'Expedited.' Use the format: \boxed{(Customer ID, Reissue Type),}"
Fraud Risk Scoring,"Review the recent transaction batch and categorize each entry based on the rule: 'Low risk if errors is null AND amount under $200; medium risk if errors is null AND amount between $200–$2,000; high risk if errors is not null OR amount exceeds $2,000.' Provide a list of all 'High Risk' transactions that require manual investigator sign-off in this format: \boxed{(Transaction ID, Risk Level),}"
Account Standing by Debt-to-Income,"Examine the attached portfolio and flag any accounts that should be moved to 'Restricted' status based on the rule: 'Good standing if total_debt is under 30% of yearly_income; watch status between 30–60%; restricted status above 60% unless credit_score is above 750.' Provide a list of accounts that are currently marked 'Good' but should be 'Restricted' or 'Watch' in the format: \boxed{(Customer ID, Suggested Status),}"
Merchant Category Restrictions,"I have attached a list of today's blocked and allowed transactions. Please identify any 'Blocked' transactions that should have been allowed under this exception: 'Block entirely for mcc in high-risk codes unless use_chip = Chip Transaction.' Provide a list of these incorrect blocks including the Merchant Category Code (MCC) and Transaction ID in this format: \boxed{(Transaction ID, MCC),}"
Customer Segmentation,"Using the provided CRM data, audit our 'Premium' tier members against this standard: 'Premium tier above 740 unless num_credit_cards is greater than 5.' Provide a list of users currently in the Premium tier who should be downgraded to 'Preferred' or 'Standard' in the format: \boxed{(User ID, New Suggested Tier),}"
Transaction Velocity Limits,"Review the daily activity logs and flag any users who exceeded their velocity caps according to the logic: 'Allow unlimited transactions under $50; cap at 10 per day between $50–$500; cap at 3 per day above $500 unless prior transaction same day had errors = null.' Provide a list of User IDs that bypassed these caps and the count of excess transactions in this format: \boxed{(User ID, Excess Count),}"
Retirement Readiness Flag,"Analyze the attached employee financial profiles and identify those requiring 'Urgent Planning' based on the rule: 'Mark On Track if current_age is more than 10 years from retirement_age; mark Review Needed between 5–10 years; mark Urgent Planning if within 5 years AND total_debt exceeds yearly_income.' Provide a list of employees in the 'Urgent' category for HR outreach in the format: \boxed{(Employee ID, Current Age),}"
PIN Change Enforcement,"Audit our security compliance logs to find users who must be 'Force Changed' based on this policy: 'Send reminder between 2–5 years; force change after 5 years unless has_chip = True AND card_on_dark_web = No.' Provide a list of all accounts that require a forced change in the format: \boxed{(Account ID, Year PIN Last Changed),}"
